"자형","코드",,,,,,,,
,,"대표음1","대표음2","대표음3","대표음4","대표음5","대표음6",,
"㹦","U+3E66","초",,,,,,,
"㹧","U+3E67","앙",,,,,,,
"㹨","U+3E68","유",,,,,,,
"㹩","U+3E69","영",,,,,,,
"㹪","U+3E6A","산",,,,,,,
"㹫","U+3E6B","이",,,,,,,
"㹬","U+3E6C","사",,,,,,,
"㹭","U+3E6D","예",,,,,,,
"㹮","U+3E6E","맥",,,,,,,
"㹯","U+3E6F","휴",,,,,,,
"㹰","U+3E70","광",,,,,,,
"㹱","U+3E71","작",,,,,,,
"㹲","U+3E72","효",,,,,,,
"㹳","U+3E73","오",,,,,,,
"㹴","U+3E74","갱",,,,,,,
"㹵","U+3E75","경",,,,,,,
"㹶","U+3E76","정",,,,,,,
"㹷","U+3E77","희",,,,,,,
"㹸","U+3E78","모",,,,,,,
"㹹","U+3E79","경",,,,,,,
"㹺","U+3E7A","탑",,,,,,,
"㹻","U+3E7B","와",,,,,,,
"㹼","U+3E7C","국",,,,,,,
"㹽","U+3E7D","찬",,,,,,,
"㹾","U+3E7E","교",,,,,,,
"㹿","U+3E7F","탁",,,,,,,
"㺀","U+3E80","노",,,,,,,
"㺁","U+3E81","노",,,,,,,
"㺂","U+3E82","감",,,,,,,
"㺃","U+3E83","구",,,,,,,
"㺄","U+3E84","여",,,,,,,
"㺅","U+3E85","후",,,,,,,
"㺆","U+3E86","췌",,,,,,,
"㺇","U+3E87","사",,,,,,,
"㺈","U+3E88","치",,,,,,,
"㺉","U+3E89","혹","구",,,,,,
"㺊","U+3E8A","양",,,,,,,
"㺋","U+3E8B","옹",,,,,,,
"㺌","U+3E8C","혐",,,,,,,
"㺍","U+3E8D","빈",,,,,,,
"㺎","U+3E8E","용",,,,,,,
"㺏","U+3E8F","루","누",,,,,,
"㺐","U+3E90","조","로","노",,,,,
"㺑","U+3E91","삼",,,,,,,
"㺒","U+3E92","교",,,,,,,
"㺓","U+3E93","적",,,,,,,
"㺔","U+3E94","위",,,,,,,
"㺕","U+3E95","번","변",,,,,,
"㺖","U+3E96","함",,,,,,,
"㺗","U+3E97","선",,,,,,,
"㺘","U+3E98","잠",,,,,,,
"㺙","U+3E99","실",,,,,,,
"㺚","U+3E9A","달",,,,,,,
"㺛","U+3E9B","주",,,,,,,
"㺜","U+3E9C","노",,,,,,,
"㺝","U+3E9D","함",,,,,,,
"㺞","U+3E9E","여",,,,,,,
"㺟","U+3E9F","탁",,,,,,,
"㺠","U+3EA0","유",,,,,,,
"㺡","U+3EA1","력","역",,,,,,
"㺢","U+3EA2","확",,,,,,,
"㺣","U+3EA3","희",,,,,,,
"㺤","U+3EA4","섬",,,,,,,
"㺥","U+3EA5","참",,,,,,,
"㺦","U+3EA6","련","연",,,,,,
"㺧","U+3EA7","효",,,,,,,
"㺨","U+3EA8","사",,,,,,,
"㺩","U+3EA9","규",,,,,,,
"㺪","U+3EAA","박",,,,,,,
"㺫","U+3EAB","규",,,,,,,
"㺬","U+3EAC","공",,,,,,,
"㺭","U+3EAD","자",,,,,,,
"㺮","U+3EAE","우",,,,,,,
"㺰","U+3EB0","사",,,,,,,
"㺱","U+3EB1","잉",,,,,,,
"㺲","U+3EB2","뉴","유",,,,,,
"㺳","U+3EB3","매",,,,,,,
"㺴","U+3EB4","발",,,,,,,
"㺵","U+3EB5","구",,,,,,,
"㺷","U+3EB7","술",,,,,,,
"㺸","U+3EB8","평",,,,,,,
"㺹","U+3EB9","변",,,,,,,
"㺺","U+3EBA","모","매",,,,,,
"㺻","U+3EBB","패",,,,,,,
"㺼","U+3EBC","필",,,,,,,
"㺽","U+3EBD","비",,,,,,,
"㺾","U+3EBE","경","형",,,,,,
"㺿","U+3EBF","이",,,,,,,
"㻀","U+3EC0","유",,,,,,,
"㻁","U+3EC1","과",,,,,,,
"㻂","U+3EC2","병",,,,,,,
"㻃","U+3EC3","곡",,,,,,,
"㻄","U+3EC4","보",,,,,,,
"㻅","U+3EC5","회",,,,,,,
"㻆","U+3EC6","현",,,,,,,
"㻇","U+3EC7","전",,,,,,,
"㻈","U+3EC8","구",,,,,,,
"㻉","U+3EC9","보",,,,,,,
"㻊","U+3ECA","문",,,,,,,
"㻋","U+3ECB","랄","날",,,,,,
"㻌","U+3ECC","도",,,,,,,
"㻍","U+3ECD","오",,,,,,,
"㻎","U+3ECE","슬",,,,,,,
"㻏","U+3ECF","령","영",,,,,,
"㻐","U+3ED0","준",,,,,,,
"㻑","U+3ED1","계",,,,,,,
"㻒","U+3ED2","운",,,,,,,
"㻓","U+3ED3","추",,,,,,,
"㻔","U+3ED4","타",,,,,,,
"㻕","U+3ED5","굴",,,,,,,
"㻖","U+3ED6","대",,,,,,,
"㻗","U+3ED7","배",,,,,,,
"㻘","U+3ED8","심",,,,,,,
"㻙","U+3ED9","육",,,,,,,
"㻛","U+3EDB","창",,,,,,,
"㻜","U+3EDC","종",,,,,,,
"㻝","U+3EDD","랄","날",,,,,,
"㻞","U+3EDE","빈",,,,,,,
"㻟","U+3EDF","수",,,,,,,
"㻠","U+3EE0","돌",,,,,,,
"㻡","U+3EE1","설",,,,,,,
"㻣","U+3EE3","감",,,,,,,
"㻥","U+3EE5","유",,,,,,,
"㻦","U+3EE6","우",,,,,,,
"㻧","U+3EE7","타",,,,,,,
"㻨","U+3EE8","완",,,,,,,
"㻩","U+3EE9","렴","염",,,,,,
"㻪","U+3EEA","수","선",,,,,,
"㻫","U+3EEB","필",,,,,,,
"㻬","U+3EEC","저","토",,,,,,
"㻭","U+3EED","슬",,,,,,,
"㻮","U+3EEE","찬",,,,,,,
"㻯","U+3EEF","도",,,,,,,
"㻰","U+3EF0","위",,,,,,,
"㻱","U+3EF1","봉",,,,,,,
"㻲","U+3EF2","루","누",,,,,,
"㻳","U+3EF3","리","이",,,,,,
"㻴","U+3EF4","만",,,,,,,
"㻵","U+3EF5","잔",,,,,,,
"㻶","U+3EF6","필",,,,,,,
"㻷","U+3EF7","극",,,,,,,
"㻸","U+3EF8","잠",,,,,,,
"㻹","U+3EF9","훤",,,,,,,
"㻺","U+3EFA","력","역",,,,,,
"㻻","U+3EFB","돈",,,,,,,
"㻼","U+3EFC","담",,,,,,,
"㻽","U+3EFD","수","선",,,,,,
"㻾","U+3EFE","옹",,,,,,,
"㻿","U+3EFF","촉",,,,,,,
"㼀","U+3F00","달",,,,,,,
"㼁","U+3F01","의",,,,,,,
"㼂","U+3F02","문",,,,,,,
"㼃","U+3F03","렵","엽",,,,,,
"㼄","U+3F04","기",,,,,,,
"㼇","U+3F07","경",,,,,,,
"㼈","U+3F08","라","나",,,,,,
"㼉","U+3F09","짐",,,,,,,
"㼊","U+3F0A","둔",,,,,,,
"㼋","U+3F0B","고","여",,,,,,
"㼌","U+3F0C","유",,,,,,,
"㼍","U+3F0D","뢰","뇌",,,,,,
"㼎","U+3F0E","박",,,,,,,
"㼏","U+3F0F","뇌",,,,,,,
"㼐","U+3F10","편",,,,,,,
"㼑","U+3F11","련","연",,,,,,
"㼒","U+3F12","탕",,,,,,,
"㼓","U+3F13","렴","염",,,,,,
"㼔","U+3F14","온",,,,,,,
"㼕","U+3F15","당",,,,,,,
"㼖","U+3F16","례","예",,,,,,
"㼗","U+3F17","정",,,,,,,
"㼘","U+3F18","와",,,,,,,
"㼙","U+3F19","추",,,,,,,
"㼚","U+3F1A","강",,,,,,,
"㼛","U+3F1B","형",,,,,,,
"㼜","U+3F1C","앙",,,,,,,
"㼝","U+3F1D","완",,,,,,,
"㼞","U+3F1E","팽",,,,,,,
"㼟","U+3F1F","백",,,,,,,
"㼠","U+3F20","타",,,,,,,
"㼡","U+3F21","수",,,,,,,
"㼢","U+3F22","이",,,,,,,
"㼣","U+3F23","백",,,,,,,
"㼤","U+3F24","결","계",,,,,,
"㼥","U+3F25","고",,,,,,,
"㼦","U+3F26","공",,,,,,,
"㼧","U+3F27","동",,,,,,,
"㼨","U+3F28","함",,,,,,,
"㼩","U+3F29","성",,,,,,,
"㼪","U+3F2A","협",,,,,,,
"㼫","U+3F2B","완","과",,,,,,
"㼬","U+3F2C","행",,,,,,,
"㼭","U+3F2D","점",,,,,,,
"㼮","U+3F2E","차",,,,,,,
"㼯","U+3F2F","동",,,,,,,
"㼰","U+3F30","비",,,,,,,
"㼱","U+3F31","준","연",,,,,,
"㼲","U+3F32","렵","엽",,,,,,
"㼳","U+3F33","성",,,,,,,
"㼴","U+3F34","우",,,,,,,
"㼵","U+3F35","제",,,,,,,
"㼶","U+3F36","유",,,,,,,
"㼷","U+3F37","선","전",,,,,,
"㼸","U+3F38","용",,,,,,,
"㼹","U+3F39","강","황",,,,,,
"㼺","U+3F3A","당",,,,,,,
"㼻","U+3F3B","장",,,,,,,
"㼼","U+3F3C","표",,,,,,,
"㼽","U+3F3D","창",,,,,,,
"㼾","U+3F3E","록","녹",,,,,,
"㼿","U+3F3F","동","종",,,,,,
"㽀","U+3F40","정",,,,,,,
"㽁","U+3F41","력","역",,,,,,
"㽂","U+3F42","삽",,,,,,,
"㽃","U+3F43","반",,,,,,,
"㽄","U+3F44","사",,,,,,,
"㽅","U+3F45","등",,,,,,,
"㽆","U+3F46","당",,,,,,,
"㽇","U+3F47","혹",,,,,,,
"㽈","U+3F48","의",,,,,,,
"㽉","U+3F49","함",,,,,,,
"㽊","U+3F4A","섭",,,,,,,
"㽋","U+3F4B","라","나",,,,,,
"㽌","U+3F4C","류","유",,,,,,
"㽍","U+3F4D","감",,,,,,,
"㽎","U+3F4E","담","흠",,,,,,
"㽏","U+3F4F","감",,,,,,,
"㽐","U+3F50","혐",,,,,,,
"㽑","U+3F51","담",,,,,,,
"㽒","U+3F52","생",,,,,,,
"㽓","U+3F53","생",,,,,,,
"㽔","U+3F54","유",,,,,,,
"㽕","U+3F55","유",,,,,,,
"㽖","U+3F56","유",,,,,,,
"㽗","U+3F57","묘",,,,,,,
"㽘","U+3F58","강",,,,,,,
"㽙","U+3F59","윤",,,,,,,
"㽚","U+3F5A","척",,,,,,,
"㽛","U+3F5B","구",,,,,,,
"㽜","U+3F5C","원",,,,,,,
"㽝","U+3F5D","례","예","렬","열",,,,
"㽞","U+3F5E","류","유",,,,,,
"㽟","U+3F5F","렬","열",,,,,,
"㽠","U+3F60","협",,,,,,,
"㽡","U+3F61","비",,,,,,,
"㽢","U+3F62","암","엽",,,,,,
"㽣","U+3F63","역",,,,,,,
"㽤","U+3F64","국",,,,,,,
"㽥","U+3F65","유",,,,,,,
"㽦","U+3F66","순","균",,,,,,
"㽧","U+3F67","자",,,,,,,
"㽨","U+3F68","차",,,,,,,
"㽩","U+3F69","참",,,,,,,
"㽪","U+3F6A","증",,,,,,,
"㽫","U+3F6B","옹",,,,,,,
"㽬","U+3F6C","부",,,,,,,
"㽭","U+3F6D","연",,,,,,,
"㽮","U+3F6E","성",,,,,,,
"㽯","U+3F6F","휴",,,,,,,
"㽰","U+3F70","소",,,,,,,
"㽱","U+3F71","교",,,,,,,
"㽲","U+3F72","후",,,,,,,
"㽳","U+3F73","후",,,,,,,
"㽴","U+3F74","장",,,,,,,
"㽵","U+3F75","장",,,,,,,
"㽶","U+3F76","기",,,,,,,
"㽷","U+3F77","수",,,,,,,
"㽸","U+3F78","심","잠",,,,,,
"㽹","U+3F79","반",,,,,,,
"㽺","U+3F7A","합","흡",,,,,,
"㽻","U+3F7B","지",,,,,,,
"㽼","U+3F7C","인",,,,,,,
"㽽","U+3F7D","고",,,,,,,
"㽾","U+3F7E","올",,,,,,,
"㽿","U+3F7F","과",,,,,,,
"㾀","U+3F80","겁",,,,,,,
"㾁","U+3F81","술",,,,,,,
"㾂","U+3F82","해",,,,,,,
"㾃","U+3F83","타",,,,,,,
"㾄","U+3F84","독",,,,,,,
"㾅","U+3F85","자",,,,,,,
"㾆","U+3F86","첨",,,,,,,
"㾇","U+3F87","목",,,,,,,
"㾈","U+3F88","부",,,,,,,
"㾉","U+3F89","령","영",,,,,,
"㾊","U+3F8A","색","자","속",,,,,
"㾋","U+3F8B","휴",,,,,,,
"㾌","U+3F8C","선",,,,,,,
"㾍","U+3F8D","내",,,,,,,
"㾎","U+3F8E","압",,,,,,,
"㾏","U+3F8F","해","애",,,,,,
"㾐","U+3F90","례","예",,,,,,
"㾑","U+3F91","답","압",,,,,,
"㾒","U+3F92","여",,,,,,,
"㾓","U+3F93","연",,,,,,,
"㾔","U+3F94","려","여",,,,,,
"㾕","U+3F95","심",,,,,,,
"㾖","U+3F96","리","이",,,,,,
"㾗","U+3F97","량","양",,,,,,
"㾘","U+3F98","경",,,,,,,
"㾙","U+3F99","흔","은",,,,,,
"㾚","U+3F9A","사",,,,,,,
"㾛","U+3F9B","침",,,,,,,
"㾜","U+3F9C","겹",,,,,,,
"㾝","U+3F9D","차",,,,,,,
"㾞","U+3F9E","유",,,,,,,
"㾟","U+3F9F","보",,,,,,,
"㾠","U+3FA0","광",,,,,,,
"㾡","U+3FA1","각",,,,,,,
"㾢","U+3FA2","뢰","뇌","래","내",,,,
"㾣","U+3FA3","금","갑",,,,,,
"㾤","U+3FA4","강",,,,,,,
"㾥","U+3FA5","축",,,,,,,
"㾦","U+3FA6","배",,,,,,,
"㾧","U+3FA7","과",,,,,,,
"㾨","U+3FA8","의","기","애",,,,,
"㾩","U+3FA9","괴",,,,,,,
"㾪","U+3FAA","생",,,,,,,
"㾫","U+3FAB","편",,,,,,,
"㾬","U+3FAC","개",,,,,,,
"㾭","U+3FAD","추",,,,,,,
"㾮","U+3FAE","황",,,,,,,
"㾯","U+3FAF","회","퇴","외",,,,,
"㾰","U+3FB0","호",,,,,,,
"㾱","U+3FB1","폐",,,,,,,
"㾲","U+3FB2","오",,,,,,,
"㾳","U+3FB3","자",,,,,,,
"㾴","U+3FB4","사",,,,,,,
"㾵","U+3FB5","계",,,,,,,
"㾶","U+3FB6","골",,,,,,,
"㾷","U+3FB7","세","시",,,,,,
"㾸","U+3FB8","고",,,,,,,
"㾹","U+3FB9","자",,,,,,,
"㾺","U+3FBA","마",,,,,,,
"㾻","U+3FBB","저","처",,,,,,
"㾼","U+3FBC","퇴",,,,,,,
"㾽","U+3FBD","추","퇴",,,,,,
"㾾","U+3FBE","혐","렴","염",,,,,
"㾿","U+3FBF","랑","낭",,,,,,
"㿀","U+3FC0","반",,,,,,,
"㿁","U+3FC1","효",,,,,,,
"㿂","U+3FC2","치",,,,,,,
"㿃","U+3FC3","대","체",,,,,,
"㿄","U+3FC4","의",,,,,,,
"㿅","U+3FC5","선",,,,,,,
"㿆","U+3FC6","과",,,,,,,
"㿇","U+3FC7","습",,,,,,,
"㿈","U+3FC8","옹",,,,,,,
"㿉","U+3FC9","퇴","대",,,,,,
"㿊","U+3FCA","참",,,,,,,
"㿋","U+3FCB","소",,,,,,,
"㿌","U+3FCC","험",,,,,,,
"㿍","U+3FCD","개",,,,,,,
"㿎","U+3FCE","분",,,,,,,
"㿏","U+3FCF","완",,,,,,,
"㿐","U+3FD0","추","치",,,,,,
"㿑","U+3FD1","약",,,,,,,
"㿒","U+3FD2","도","주",,,,,,
"㿓","U+3FD3","겹",,,,,,,
"㿔","U+3FD4","뢰","뇌",,,,,,
"㿕","U+3FD5","염",,,,,,,
"㿖","U+3FD6","로","노",,,,,,
"㿗","U+3FD7","퇴",,,,,,,
"㿘","U+3FD8","영",,,,,,,
"㿙","U+3FD9","비",,,,,,,
"㿚","U+3FDA","라","나",,,,,,
"㿛","U+3FDB","려","여",,,,,,
"㿜","U+3FDC","별",,,,,,,
"㿝","U+3FDD","향",,,,,,,
"㿞","U+3FDE","모",,,,,,,
"㿟","U+3FDF","백","교",,,,,,
"㿠","U+3FE0","황",,,,,,,
"㿡","U+3FE1","도",,,,,,,
"㿢","U+3FE2","요",,,,,,,
"㿣","U+3FE3","할",,,,,,,
"㿤","U+3FE4","준",,,,,,,
"㿥","U+3FE5","학",,,,,,,
"㿦","U+3FE6","녕","영",,,,,,
"㿧","U+3FE7","주",,,,,,,
"㿨","U+3FE8","력","역",,,,,,
"㿩","U+3FE9","당",,,,,,,
"㿪","U+3FEA","환",,,,,,,
"㿫","U+3FEB","비",,,,,,,
"㿬","U+3FEC","파",,,,,,,
"㿭","U+3FED","책","력","역",,,,,
"㿮","U+3FEE","암",,,,,,,
"㿯","U+3FEF","답",,,,,,,
"㿰","U+3FF0","오",,,,,,,
"㿱","U+3FF1","설",,,,,,,
"㿲","U+3FF2","의",,,,,,,
"㿳","U+3FF3","치",,,,,,,
"㿴","U+3FF4","답",,,,,,,
"㿵","U+3FF5","연",,,,,,,
"㿶","U+3FF6","방",,,,,,,
"㿷","U+3FF7","추",,,,,,,
"㿸","U+3FF8","만",,,,,,,
"㿹","U+3FF9","달",,,,,,,
"㿺","U+3FFA","박",,,,,,,
"㿻","U+3FFB","간",,,,,,,
"㿼","U+3FFC","연",,,,,,,
"㿽","U+3FFD","혜",,,,,,,
"㿾","U+3FFE","저",,,,,,,
"㿿","U+3FFF","아",,,,,,,
"䀀","U+4000","범",,,,,,,
"䀁","U+4001","유",,,,,,,
"䀂","U+4002","안",,,,,,,
"䀃","U+4003","퇴",,,,,,,
"䀄","U+4004","몽",,,,,,,
"䀅","U+4005","사",,,,,,,
"䀆","U+4006","진",,,,,,,
"䀇","U+4007","고",,,,,,,
"䀈","U+4008","기",,,,,,,
"䀉","U+4009","교",,,,,,,
"䀊","U+400A","교",,,,,,,
"䀋","U+400B","염",,,,,,,
"䀍","U+400D","감",,,,,,,
"䀎","U+400E","면",,,,,,,
"䀏","U+400F","현","순",,,,,,
"䀐","U+4010","삼",,,,,,,
"䀑","U+4011","내",,,,,,,
"䀒","U+4012","천",,,,,,,
"䀓","U+4013","환",,,,,,,
"䀔","U+4014","인",,,,,,,
"䀕","U+4015","진",,,,,,,
"䀖","U+4016","천",,,,,,,
"䀗","U+4017","결","휼",,,,,,
"䀘","U+4018","계",,,,,,,
"䀙","U+4019","체",,,,,,,
"䀚","U+401A","앙",,,,,,,
"䀛","U+401B","매",,,,,,,
"䀜","U+401C","홀","매",,,,,,
"䀝","U+401D","비",,,,,,,
"䀞","U+401e","도",,,,,,,
"䀟","U+401F","비","불","발",,,,,
"䀠","U+4020","구",,,,,,,
"䀡","U+4021","점","첨",,,,,,
"䀢","U+4022","순",,,,,,,
"䀣","U+4023","말",,,,,,,
"䀤","U+4024","무",,,,,,,
"䀥","U+4025","력","역","삭",,,,,
"䀦","U+4026","고 ",,,,,,,
"䀧","U+4027","홍",,,,,,,
"䀨","U+4028","활","괄",,,,,,
"䀩","U+4029","락","낙",,,,,,
"䀪","U+402A","항",,,,,,,
"䀫","U+402B","겹","돈",,,,,,
"䀬","U+402C","전",,,,,,,
"䀭","U+402D","해",,,,,,,
"䀮","U+402E","황",,,,,,,
"䀯","U+402F","보",,,,,,,
"䀰","U+4030","곡",,,,,,,
"䀱","U+4031","봉",,,,,,,
"䀲","U+4032","목",,,,,,,
"䀳","U+4033","랄","날",,,,,,
"䀴","U+4034","영","업",,,,,,
"䀵","U+4035","순",,,,,,,
"䀶","U+4036","량","양",,,,,,
"䀷","U+4037","겁",,,,,,,
"䀸","U+4038","제",,,,,,,
"䀹","U+4039","섬",,,,,,,
"䀺","U+403A","추","초","도",,,,,
"䀻","U+403B","빙",,,,,,,
"䀼","U+403C","진","인",,,,,,
"䀽","U+403D","연",,,,,,,
"䀾","U+403E","도",,,,,,,
"䀿","U+403f","치",,,,,,,
"䁀","U+4040","정",,,,,,,
"䁁","U+4041","량","양",,,,,,
"䁂","U+4042","한",,,,,,,
"䁃","U+4043","표",,,,,,,
"䁄","U+4044","행",,,,,,,
"䁅","U+4045","맹",,,,,,,
"䁆","U+4046","암","읍",,,,,,
"䁇","U+4047","밀",,,,,,,
"䁈","U+4048","계",,,,,,,
"䁉","U+4049","계",,,,,,,
"䁊","U+404A","알",,,,,,,
"䁋","U+404B","접",,,,,,,
"䁌","U+404c","울",,,,,,,
"䁍","U+404D","겹",,,,,,,
"䁎","U+404E","징","정",,,,,,
"䁏","U+404F","요",,,,,,,
"䁐","U+4050","영",,,,,,,
"䁑","U+4051","양",,,,,,,
"䁒","U+4052","집",,,,,,,
"䁓","U+4053","종",,,,,,,
"䁔","U+4054","훤",,,,,,,
"䁕","U+4055","민",,,,,,,
"䁖","U+4056","루","누",,,,,,
"䁗","U+4057","개",,,,,,,
"䁘","U+4058","요",,,,,,,
"䁙","U+4059","언",,,,,,,
"䁚","U+405A","손",,,,,,,
"䁛","U+405b","귀",,,,,,,
"䁜","U+405c","황",,,,,,,
"䁝","U+405D","앵",,,,,,,
"䁞","U+405e","성",,,,,,,
"䁟","U+405F","차",,,,,,,
"䁠","U+4060","렴","염",,,,,,
"䁡","U+4061","섬",,,,,,,
"䁢","U+4062","선",,,,,,,
"䁣","U+4063","선",,,,,,,
"䁤","U+4064","적",,,,,,,
"䁥","U+4065","닐","일",,,,,,
"䁦","U+4066","처",,,,,,,
"䁧","U+4067","묘",,,,,,,
"䁨","U+4068","확",,,,,,,
"䁩","U+4069","어",,,,,,,
"䁪","U+406A","참",,,,,,,
"䁫","U+406B","홀","몽",,,,,,
"䁬","U+406C","층",,,,,,,
"䁭","U+406D","표",,,,,,,
"䁮","U+406E","잠",,,,,,,
"䁯","U+406F","흡","섭",,,,,,
"䁰","U+4070","항",,,,,,,
"䁱","U+4071","우",,,,,,,
"䁲","U+4072","매",,,,,,,
"䁳","U+4073","망",,,,,,,
"䁴","U+4074","전",,,,,,,
"䁵","U+4075","편",,,,,,,
"䁶","U+4076","교",,,,,,,
"䁷","U+4077","각","옥",,,,,,
"䁸","U+4078","낭","농",,,,,,
"䁹","U+4079","비",,,,,,,
"䁺","U+407A","역",,,,,,,
"䁻","U+407B","삭","력","역",,,,,
"䁼","U+407C","묵",,,,,,,
"䁽","U+407D","렵","엽",,,,,,
"䁾","U+407E","멸",,,,,,,
"䁿","U+407F","묵",,,,,,,
"䂀","U+4080","희",,,,,,,
"䂁","U+4081","참",,,,,,,
"䂂","U+4082","구",,,,,,,
"䂃","U+4083","작",,,,,,,
"䂄","U+4084","확",,,,,,,
"䂅","U+4085","한",,,,,,,
"䂆","U+4086","격",,,,,,,
"䂇","U+4087","뉴","유","뉵","육",,,,
"䂈","U+4088","동",,,,,,,
"䂉","U+4089","후",,,,,,,
"䂊","U+408A","여",,,,,,,
"䂌","U+408C","충",,,,,,,
"䂍","U+408D","박",,,,,,,
"䂎","U+408E","찬",,,,,,,
"䂏","U+408F","조",,,,,,,
"䂐","U+4090","철",,,,,,,
"䂑","U+4091","제",,,,,,,
"䂒","U+4092","갈",,,,,,,
"䂓","U+4093","규",,,,,,,
"䂔","U+4094","행",,,,,,,
"䂕","U+4095","훼",,,,,,,
"䂖","U+4096","석",,,,,,,
"䂗","U+4097","골",,,,,,,
"䂘","U+4098","차",,,,,,,
"䂙","U+4099","소",,,,,,,
"䂚","U+409A","효",,,,,,,
"䂛","U+409b","여",,,,,,,
"䂜","U+409C","방",,,,,,,
"䂝","U+409d","타",,,,,,,
"䂞","U+409E","자",,,,,,,
"䂟","U+409f","가",,,,,,,
"䂠","U+40A0","시",,,,,,,
"䂡","U+40A1","지",,,,,,,
"䂢","U+40A2","동",,,,,,,
"䂣","U+40A3","차",,,,,,,
"䂤","U+40A4","부",,,,,,,
"䂥","U+40A5","민",,,,,,,
"䂦","U+40A6","진",,,,,,,
"䂧","U+40A7","진",,,,,,,
"䂩","U+40A9","연",,,,,,,
"䂪","U+40AA","요",,,,,,,
"䂫","U+40AB","홍",,,,,,,
"䂬","U+40ac","공",,,,,,,
"䂭","U+40AD","교",,,,,,,
"䂮","U+40ae","략","약",,,,,,
"䂯","U+40af","괴",,,,,,,
"䂰","U+40b0","랍","납",,,,,,
"䂱","U+40B1","세",,,,,,,
"䂲","U+40b2","겁",,,,,,,
"䂳","U+40B3","좌",,,,,,,
"䂴","U+40B4","연",,,,,,,
"䂵","U+40b5","공",,,,,,,
"䂶","U+40b6","겁",,,,,,,
"䂷","U+40B7","괴",,,,,,,
"䂸","U+40b8","괵",,,,,,,
"䂹","U+40b9","색",,,,,,,
"䂺","U+40BA","와",,,,,,,
"䂻","U+40BB","정",,,,,,,
"䂼","U+40bc","녈","열",,,,,,
"䂽","U+40BD","도",,,,,,,
"䂾","U+40BE","래","내",,,,,,
"䂿","U+40BF","답",,,,,,,
"䃀","U+40C0","취",,,,,,,
"䃁","U+40C1","아",,,,,,,
"䃂","U+40C2","곤",,,,,,,
"䃃","U+40C3","망",,,,,,,
"䃄","U+40C4","경",,,,,,,
"䃅","U+40c5","제",,,,,,,
"䃆","U+40C6","기",,,,,,,
"䃇","U+40C7","면",,,,,,,
"䃈","U+40C8","개",,,,,,,
"䃉","U+40C9","민",,,,,,,
"䃊","U+40CA","저",,,,,,,
"䃋","U+40CB","유",,,,,,,
"䃌","U+40CC","진","인",,,,,,
"䃍","U+40CD","대","추",,,,,,
"䃎","U+40CE","차",,,,,,,
"䃏","U+40CF","성",,,,,,,
"䃑","U+40D1","반",,,,,,,
"䃒","U+40D2","핵","격",,,,,,
"䃓","U+40D3","구",,,,,,,
"䃔","U+40D4","궁",,,,,,,
"䃕","U+40D5","락","낙",,,,,,
"䃖","U+40D6","오",,,,,,,
"䃗","U+40D7","박","착",,,,,,
"䃘","U+40D8","갱",,,,,,,
"䃙","U+40D9","록","녹",,,,,,
"䃚","U+40DA","족",,,,,,,
"䃛","U+40db","련","연",,,,,,
"䃜","U+40DC","예",,,,,,,
"䃝","U+40dd","교",,,,,,,
"䃞","U+40DE","숙",,,,,,,
"䃠","U+40e0","선",,,,,,,
"䃡","U+40E1","잠",,,,,,,
"䃢","U+40E2","금",,,,,,,
"䃣","U+40E3","훼",,,,,,,
"䃤","U+40E4","숙",,,,,,,
"䃥","U+40E5","당",,,,,,,
"䃦","U+40E6","돈",,,,,,,
"䃧","U+40E7","륭","융",,,,,,
"䃨","U+40E8","강",,,,,,,
"䃩","U+40e9","뇨","요",,,,,,
"䃪","U+40EA","단",,,,,,,
"䃫","U+40EB","담",,,,,,,
"䃬","U+40EC","외",,,,,,,
"䃭","U+40ED","감",,,,,,,
"䃮","U+40EE","달",,,,,,,
"䃯","U+40ef","력","역",,,,,,
"䃰","U+40F0","찰",,,,,,,
"䃱","U+40F1","섬",,,,,,,
"䃲","U+40F2","반",,,,,,,
"䃳","U+40F3","랍","납",,,,,,
"䃴","U+40F4","저",,,,,,,
"䃵","U+40F5","뇨","요",,,,,,
"䃶","U+40F6","회","괴",,,,,,
"䃷","U+40F7","영",,,,,,,
"䃸","U+40F8","섬",,,,,,,
"䃹","U+40F9","란","난",,,,,,
"䃺","U+40FA","마",,,,,,,
"䃻","U+40FB","파",,,,,,,
"䃼","U+40FC","복",,,,,,,
"䃽","U+40FD","궤",,,,,,,
"䃾","U+40FE","비",,,,,,,
"䃿","U+40FF","부",,,,,,,
"䄀","U+4100","화",,,,,,,
"䄁","U+4101","예",,,,,,,
"䄂","U+4102","류","유",,,,,,
"䄃","U+4103","앙",,,,,,,
"䄄","U+4104","인",,,,,,,
"䄅","U+4105","권",,,,,,,
"䄆","U+4106","활",,,,,,,
"䄇","U+4107","정",,,,,,,
"䄈","U+4108","두",,,,,,,
"䄉","U+4109","아",,,,,,,
"䄊","U+410A","지",,,,,,,
"䄋","U+410B","엄",,,,,,,
"䄌","U+410C","철",,,,,,,
"䄍","U+410D","자",,,,,,,
"䄎","U+410E","기",,,,,,,
"䄏","U+410F","요",,,,,,,
"䄐","U+4110","권",,,,,,,
"䄑","U+4111","활",,,,,,,
"䄒","U+4112","임",,,,,,,
"䄓","U+4113","황",,,,,,,
"䄔","U+4114","구",,,,,,,
"䄕","U+4115","사",,,,,,,
"䄖","U+4116","유",,,,,,,
